Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
240;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";"American Society for Microbiology";No;No;5,594;Q1;340;55;97;14404;1973;97;19,02;261,89;40,50;1;31;United States;Northern America;"American Society for Microbiology";"1988-2024";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Immunology and Microbiology; Medicine"
651;20278;"Microbiology and Molecular Biology Reviews";journal;"10985557, 10922172";"American Society for Microbiology";No;No;3,165;Q1;287;47;85;9042;846;83;8,23;192,38;42,94;1;8;United States;Northern America;"American Society for Microbiology";"1997-2024";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
1077;21100399469;"EcoSal Plus";journal;"23246200";"American Society for Microbiology";No;No;2,331;Q1;46;9;26;1985;180;26;4,00;220,56;42,42;0;1;United States;Northern America;"American Society for Microbiology";"2004-2024";"Microbiology (Q1)";"Immunology and Microbiology"
1605;19700188403;"mBio";journal;"21612129, 21507511";"American Society for Microbiology";Yes;No;1,885;Q1;180;763;2324;48212;11083;2287;4,35;63,19;43,79;3;297;United States;Northern America;"American Society for Microbiology";"2010-2025";"Microbiology (Q1); Virology (Q1)";"Immunology and Microbiology"
1620;15871;"Journal of Clinical Microbiology";journal;"1098660X, 00951137";"American Society for Microbiology";No;No;1,878;Q1;295;241;908;6849;3898;752;3,77;28,42;50,34;3;79;United States;Northern America;"American Society for Microbiology";"1975-2025";"Microbiology (medical) (Q1)";"Medicine"
2231;21100850723;"mSystems";journal;"23795077";"American Society for Microbiology";Yes;No;1,558;Q1;89;387;1070;26000;5255;1063;4,42;67,18;42,54;1;123;United States;Northern America;"American Society for Microbiology";"2016-2025";"Biochemistry (Q1); Computer Science Applications (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Microbiology (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1); Physiology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics"
2593;19615;"Antimicrobial Agents and Chemotherapy";journal;"10986596, 00664804";"American Society for Microbiology";No;No;1,431;Q1;299;425;1582;16512;6251;1509;4,09;38,85;44,31;0;201;United States;Northern America;"American Society for Microbiology";"1963-1970, 1972-2025";"Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
3164;20250;"Journal of Virology";journal;"10985514, 0022538X";"American Society for Microbiology";No;No;1,283;Q1;330;590;1948;34111;7228;1924;3,59;57,82;45,02;7;317;United States;Northern America;"American Society for Microbiology";"1967-2025";"Insect Science (Q1); Microbiology (Q1); Virology (Q1); Immunology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology"
3382;21100850718;"mSphere";journal;"23795042";"American Society for Microbiology";Yes;No;1,237;Q1;77;357;842;18883;3011;827;2,86;52,89;46,81;2;123;United States;Northern America;"American Society for Microbiology";"2016-2025";"Microbiology (Q1); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
3840;21100433120;"Microbiology Spectrum";journal;"21650497";"American Society for Microbiology";Yes;No;1,149;Q1;98;1397;4554;69767;18062;4491;3,86;49,94;45,26;3;603;United States;Northern America;"American Society for Microbiology";"2013-2025";"Ecology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Physiology (Q1); Cell Biology (Q2); Genetics (Q2)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine"
