source_id,title,sjr_quartile,sjr,h_index,citations_per_doc,open_access,scope_text
19651,Clinical Microbiology Reviews,Q1,5.5940,340,19.0200,False,"Clinical Microbiology Reviews® (CMR) accepts reviews that are of primary interest to clinical microbiologists, medical microbiologists and immunologists, public health workers, infectious disease clinicians, and others who are interested in the pathogenesis, laboratory diagnosis, epidemiology, and control of human and veterinary pathogens. The articles should present comprehensive, critical summaries of current knowledge in the field, in other words, authoritative narrative review articles. The content of the article should not be limited to a discussion of the author's work. Sufficient historical or other background material may be included for those readers who are not current with the latest advances in the particular field. If the material covered is controversial, the author should attempt to provide balanced coverage. Appropriate reviews would include those addressing pathogenic mechanisms, specific or groups of microbial pathogens, clinical and laboratory aspects of newly recognized or reemerging infectious diseases, recently developed antimicrobial agents and their application, and new diagnostic laboratory technology."
20278,Microbiology and Molecular Biology Reviews,Q1,3.1650,287,8.2300,False,"Microbiology and Molecular Biology Reviews (MMBR), is recognized as the definitive, broad-based review journal in the disciplines of microbiology, immunology, and molecular and cellular biology, keeping readers abreast of the latest findings about bacteria, viruses, parasites, fungi, and other higher eukaryotes. 

Scope includes:

- Physiology and enzymology 
- Molecular biology 
- Chemistry; biosynthesis 
- Genetics 
- Ecology 
- Host-parasite relationships leading to disease 
- Cellular biology 
- Virology"
21100399469,EcoSal Plus,Q1,2.3310,46,4.0000,False,"EcoSal Plus is the authoritative online review journal that publishes an ever-growing body of expert reviews covering virtually all aspects of E. coli, Salmonella, and other members of the family Enterobacteriaceae and their use as model microbes for biological explorations. This journal is intended primarily for the research community as a comprehensive and continuously updated archive of the entire corpus of knowledge about the enteric bacterial cell.  Thoughtful reviews focus on physiology, metabolism, genetics, pathogenesis, ecology, genomics, systems biology, and history E. coli and its relatives. These provide the integrated background needed for most microbiology investigations and are essential reading for research scientists. Articles contain links to E. coli K12 genes on the EcoCyc database site and are available as downloadable PDF files. Images and tables are downloadable to PowerPoint files."
19700188403,mBio,Q1,1.8850,180,4.3500,True,"mBio® is a broad-scope open access journal edited by active research scientists. It strives to publish the best research in microbiology and allied fields. mBio publishes outstanding papers in all disciplines that address microbiological problems, including, but not limited to, biochemistry and molecular biology, genetics and genomics, environmental science, evolution, immunology, infectious disease, and physiology. Topics covered include bacteria, viruses, parasites, fungi, and simple eukaryotic organisms, as well as all types of host-microbe interactions.

We understand that there may be overlap in the scope statements of the ASM journals. Questions about these guidelines may be directed to the editor in chief of the journal being considered."
15871,Journal of Clinical Microbiology,Q1,1.8780,295,3.7700,False,"The scope of the Journal of Clinical Microbiology® (JCM) includes the laboratory diagnosis of human and animal infections, the role of the laboratory in managing infectious diseases (including antimicrobial and diagnostic test stewardship), and the role of the laboratory in elucidating the epidemiology of infections. The three principal attributes required of papers published in JCM are significance, relevance to the practice of clinical microbiology, and quality science. The significance of a paper depends on novelty, timeliness, and potential for impact on patient outcomes or clinical microbiology laboratory practice. These standards are applied to all papers, regardless of the specific technology studied."
21100850723,mSystems,Q1,1.5580,89,4.4200,True,"mSystems® publishes preeminent work that stems from applying technologies for high-throughput analyses to achieve insights into the metabolic and regulatory systems at the scale of both the single cell and microbial communities. The scope of mSystems encompasses all important biological and biochemical findings drawn from analyses of large data sets, as well as new computational approaches for deriving these insights. mSystems welcomes submissions from researchers who focus on the microbiome, genomics, metagenomics, transcriptomics, metabolomics, proteomics, glycomics, bioinformatics, and computational microbiology. mSystems provides streamlined decisions, while carrying on ASM's tradition of rigorous peer review."
19615,Antimicrobial Agents and Chemotherapy,Q1,1.4310,299,4.0900,False,"Antimicrobial Agents and Chemotherapy® features interdisciplinary studies that build our understanding of the underlying mechanisms and therapeutic applications of antimicrobial and antiparasitic agents and chemotherapy. The journal also publishes studies involving animal models, pharmacological characterization, and clinical trials.
Chemistry; Biosynthesis
Mechanisms of Action: Physiological Effects
Mechanisms of Resistance
Susceptibility
Biologic Response Modifiers
Analytical Procedures
Antiviral Agents
Experimental Therapeutics
Clinical Therapeutics
Pharmacology.
Sections include:

- Commentaries 
- Minireviews 
- Chemistry; Biosynthesis 
- Mechanisms of Action: Physiological Effects 
- Mechanisms of Resistance 
- Susceptibility 
- Biologic Response Modifiers 
- Analytical Procedures 
- Antiviral Agents 
- Experimental Therapeutics 
- Clinical Therapeutics 
- Pharmacology 
- Recent U.S. Food and Drug Administration Approvals"
20250,Journal of Virology,Q1,1.2830,330,3.5900,False,"The Journal of Virology (JVI) maintains its premier position as a source of broad-based, high-quality, original research concerning viruses. The journal provides fundamental new information obtained in studies using cross-disciplinary approaches of biochemistry, biophysics, cell biology, genetics, immunology, molecular biology, morphology, physiology, and pathogenesis and immunity.

Sections include:

- Spotlights 
- Commentaries 
- Minireviews 
- Structure and Assembly 
- Genome Replication and Regulation of Viral Gene Expression 
- Genetic Diversity and Evolution 
- Virus-Cell Interactions 
- Cellular Response to Infection 
- Transformation and Oncogenesis 
- Gene Delivery 
- Vaccines and Antiviral Agents 
- Pathogenesis and Immunity"
21100850718,mSphere,Q1,1.2370,77,2.8600,True,"mSphere® is a multidisciplinary open-access journal that publishes high-quality work that makes fundamental contributions to any of the immense range of fields within the microbial sciences. The mSphere Board of Editors is committed to providing authors with streamlined decisions while carrying on ASM's tradition for rigorous peer review. The journal offers rapid publication and wide dissemination of excellent research at no cost to readers.

Articles in mSphere will be published in one of the following tracks:

Applied and Environmental Science,
Clinical Science and Epidemiology,
Ecological and Evolutionary Science,
Host-Microbe Biology,
Molecular Biology and Physiology,
Synthetic Biology,
Therapeutics and Prevention."
21100433120,Microbiology Spectrum,Q1,1.1490,98,3.8600,True,"Microbiology Spectrum publishes commissioned review articles on topics in microbiology representing ten content areas: Archaea; Food Microbiology; Bacterial Genetics, Cell Biology, and Physiology; Clinical Microbiology; Environmental Microbiology and Ecology; Eukaryotic Microbes; Genomics, Computational, and Synthetic Microbiology; Immunology; Pathogenesis; and Virology. Reviews are interrelated, with each review linking to other related content. A large board of Microbiology Spectrum editors aids in the development of topics for potential reviews and in the identification of an editor, or editors, who shepherd each collection."
