source_id,title,sjr_quartile,sjr,h_index,citations_per_doc,open_access,scope_text
24598,Mathematical Models and Methods in Applied Sciences,Q1,1.9910,97,3.0200,False,"The purpose of this journal is to provide a medium of exchange for scientists engaged in applied sciences (physics, mathematical physics, natural, and technological sciences) where there exists a non-trivial interplay between mathematics, mathematical modelling of real systems and mathematical and computer methods oriented towards the qualitative and quantitative analysis of real physical systems. The principal areas of interest of this journal are the following: 1.Mathematical modelling of systems in applied sciences; 2.Mathematical methods for the qualitative and quantitative analysis of models of mathematical physics and technological sciences; 3.Numerical and computer treatment of mathematical models or real systems. Special attention will be paid to the analysis of nonlinearities and stochastic aspects. Within the above limitation, scientists in all fields which employ mathematics are encouraged to submit research and review papers to the journal. Both theoretical and applied papers will be considered for publication. High quality, novelty of the content and potential for the applications to modern problems in applied sciences and technology will be the guidelines for the selection of papers to be published in the journal. This journal publishes only articles with original and innovative contents. Book reviews, announcements and tutorial articles will be featured occasionally."
24309,International Journal of Neural Systems,Q1,1.5790,79,7.0500,False,"The International Journal of Neural Systems is a monthly rigorously peer-reviewed transdisciplinary journal which covers information processing in natural and artificial neural systems. Subjects of special interests are machine learning, computational neuroscience and neurology, and innovative and high-impact articles that cross multiple fields including neurosciences and computer science and engineering. Authors are strongly encouraged to review recent issues of the journal before submission. The journal presents a fresh, undogmatic attitude towards this multi-disciplinary field, aiming to be a forum for novel ideas and improved understanding of collective and cooperative phenomena in systems with computational capabilities."
74973,Communications in Contemporary Mathematics,Q1,1.2450,52,1.3100,False,"With traditional boundaries between various specialized fields of mathematics becoming less and less visible, Communications in Contemporary Mathematics (CCM) presents the forefront of research in the fields of: Algebra, Analysis, Applied Mathematics, Dynamical Systems, Geometry, Mathematical Physics, Number Theory, Partial Differential Equations and Topology, among others. It provides a forum to stimulate interactions between different areas. Both original research papers and expository articles will be published."
19700172204,Analysis and Applications,Q1,1.1440,29,2.4100,False,"Analysis and Applications publishes high quality mathematical papers that treat those parts of analysis which have direct or potential applications to the physical and biological sciences and engineering. Some of the topics from analysis include approximation theory, asymptotic analysis, calculus of variations, integral equations, integral transforms, ordinary and partial differential equations, delay differential equations, and perturbation methods. The primary aim of the journal is to encourage the development of new techniques and results in applied analysis."
12000154480,Journal of Mathematical Logic,Q1,1.1290,17,0.9600,False,The Journal of Mathematical Logic (JML) provides an important forum for the communication of original contributions in all areas of mathematical logic and its applications. It aims at publishing papers at the highest level of mathematical creativity and sophistication. JML intends to represent the most important and innovative developments in the subject.
18134,American Journal of Chinese Medicine,Q1,1.0900,82,5.8000,False,"The American Journal of Chinese Medicine, which is defined in its broadest sense possible, publishes original articles and essays relating to traditional or ethnomedicine of all cultures. Areas of particular interest include: Basic scientific and clinical research in indigenous medical techniques, therapeutic procedures, medicinal plants, and traditional medical theories and concepts; Multidisciplinary study of medical practice and health care, especially from historical, cultural, public health, and socioeconomic perspectives; International policy implications of comparative studies of medicine in all cultures, including such issues as health in developing countries, affordability and transferability of health-care techniques and concepts; Translating scholarly ancient texts or modern publications on ethnomedicine. The American Journal of Chinese Medicine will consider for publication a broad range of scholarly contributions, including original scientific research papers, review articles, editorial comments, social policy statements, brief news items, bibliographies, research guides, letters to the editors, book reviews, and selected reprints."
21100975685,Annals of Financial Economics,Q1,1.0880,19,4.5800,False,"The AFE is an international journal with the goal of advancing the knowledge and understanding of the practice of financial economics through the publication of a high-quality and practitioner-relevant journal. This journal offers a specialized forum for applied research on investments in various financial markets, market microstructures, asset pricing and regulation of financial markets. Papers employing econometric or empirical methods in the research design and focusing on empirical testing of both financial theories and applications in financial economics are encouraged. This journal is not suitable for papers devoted solely to pure theory or survey articles with inadequate econometric analysis. The AFE serves as a bridge between academic research and practice by seeking academically rigorous papers that have direct relevance to practitioners, a forum for presenting the perspectives of practitioners, academics and regulators on financial economics and its applications."
23347,Journal of Environmental Assessment Policy and Management,Q1,0.9070,36,2.9300,False,"The journal welcomes original papers from academics and practitioners alike, and particularly encourages submissions that draw on experience from legal and policy analysis, case studies, case law and sectoral studies. Appropriate review papers are also encouraged from time to time. Papers should generally be 5000-7000 words, though more substantial papers will be considered. Contributions reflect the interdisciplinary emphasis which is fundamental to the journal. Papers will be double-blind refereed using an appropriate cross-section of reviewers drawn from the target interests. The journal aims for a turn-around time of six months from submission to publication to ensure rapid dissemination and dynamic discussion of ideas and results. Book reviews are also included. JEAPM will be of interest to academics working in interdisciplinary fields across the social, natural and engineering sciences; policy and decision makers in national and local government and relevant agencies; environmental consultants; business strategists and managers concerned with environmental performance and improvement; and environmental and consumer non-governmental organisations. The Editorial Board provides a unique mix of expertise from both the academic community and a full range of interested parties."
21100409617,Bulletin of Mathematical Sciences,Q1,0.8550,24,2.5600,True,"The Bulletin of Mathematical Sciences, a peer-reviewed, open access journal, will publish original research work of highest quality and of broad interest in all branches of mathematical sciences. The Bulletin will publish well-written expository articles (40-50 pages) of exceptional value giving the latest state of the art on a specific topic, and short articles (up to 15 pages) containing significant results of wider interest. Most of the expository articles will be invited. The Bulletin of Mathematical Sciences is launched by King Abdulaziz University, Jeddah, Saudi Arabia."
6100153017,Journal of Hyperbolic Differential Equations,Q1,0.7330,36,1.0200,False,"This journal publishes original research papers on nonlinear hyperbolic problems and related topics, of mathematical and/or physical interest. Specifically, it invites papers on the theory and numerical analysis of hyperbolic conservation laws and of hyperbolic partial differential equations arising in mathematical physics. The Journal welcomes contributions in: Theory of nonlinear hyperbolic systems of conservation laws, addressing the issues of well-posedness and qualitative behavior of solutions, in one or several space dimensions. Hyperbolic differential equations of mathematical physics, such as the Einstein equations of general relativity, Dirac equations, Maxwell equations, relativistic fluid models, etc. Lorentzian geometry, particularly global geometric and causal theoretic aspects of spacetimes satisfying the Einstein equations. Nonlinear hyperbolic systems arising in continuum physics such as: hyperbolic models of fluid dynamics, mixed models of transonic flows, etc. General problems that are dominated (but not exclusively driven) by finite speed phenomena, such as dissipative and dispersive perturbations of hyperbolic systems, and models from statistical mechanics and other probabilistic models relevant to the derivation of fluid dynamical equations. Convergence analysis of numerical methods for hyperbolic equations: finite difference schemes, finite volumes schemes, etc."
